Precinct,Race,Candidate,Total Votes
1032 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1032 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1032 BS 2,"For Council, City of San Antonio, District 5",,Day
1032 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 82 55.41% 21,9
1032 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 66 44.59% 17,26
1047 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1047 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1047 BS 3,"For Council, City of San Antonio, District 3",,Day
1047 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 45 56.25% 17,14
1047 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 35 43.75% 5,17
1048 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1048 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1048 BS 3,"For Council, City of San Antonio, District 3",,Day
1048 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 87 61.70% 34,26
1048 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 54 38.30% 25,14
1049 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1049 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1049 BS 3,"For Council, City of San Antonio, District 3",,Day
1049 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 63 44.68% 10,21
1049 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 78 55.32% 15,30
1050 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1050 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1050 BS 3,"For Council, City of San Antonio, District 3",,Day
1050 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 42 42.42% 20,14
1050 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 57 57.58% 13,28
1051 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1051 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1051 BS 3,"For Council, City of San Antonio, District 3",,Day
1051 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 94 59.49% 24,28
1051 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 64 40.51% 17,19
1052 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1052 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1052 BS 3,"For Council, City of San Antonio, District 3",,Day
1052 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 54 39.13% 12,16
1052 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 84 60.87% 22,26
1053 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1053 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1053 BS 3,"For Council, City of San Antonio, District 3",,Day
1053 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 9 45.00% 4,1
1053 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 11 55.00% 3,2
1054 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1054 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1054 BS 3,"For Council, City of San Antonio, District 3",,Day
1054 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 108 48.87% 46,29
1054 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 113 51.13% 31,47
1056 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1056 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1056 BS 3,"For Council, City of San Antonio, District 3",,Day
1056 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 62 38.04% 31,9
1056 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 101 61.96% 40,12
1057 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1057 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1057 BS 3,"For Council, City of San Antonio, District 3",,Day
1057 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 0 0,0
1057 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 0 0,0
1058 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1058 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1058 BS 3,"For Council, City of San Antonio, District 3",,Day
1058 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 2 40.00% 0,1
1058 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 3 60.00% 0,1
1059 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1059 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1059 BS 3,"For Council, City of San Antonio, District 3",,Day
1059 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 2 25.00% 0,1
1059 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 6 75.00% 0,4
1074 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1074 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1074 BS 2,"For Council, City of San Antonio, District 5",,Day
1074 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 0 0,0
1074 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 0 0,0
1077 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1077 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1077 BS 2,"For Council, City of San Antonio, District 5",,Day
1077 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 125 60.68% 32,26
1077 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 81 39.32% 10,31
1078 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1078 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1078 BS 2,"For Council, City of San Antonio, District 5",,Day
1078 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 32 69.57% 13,8
1078 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 14 30.43% 3,4
1088 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1088 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1088 BS 2,"For Council, City of San Antonio, District 5",,Day
1088 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 58 69.88% 22,12
1088 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 25 30.12% 5,4
1089 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1089 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1089 BS 3,"For Council, City of San Antonio, District 3",,Day
1089 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 28 40.00% 5,3
1089 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 42 60.00% 9,5
1091 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1091 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1091 BS 3,"For Council, City of San Antonio, District 3",,Day
1091 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 49 36.03% 19,10
1091 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 87 63.97% 29,18
1097 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1097 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1097 BS 2,"For Council, City of San Antonio, District 5",,Day
1097 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 28 53.85% 6,8
1097 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 24 46.15% 6,6
1098 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1098 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1098 BS 2,"For Council, City of San Antonio, District 5",,Day
1098 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 63 77.78% 11,4
1098 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 18 22.22% 2,9
1102 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1102 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1102 BS 3,"For Council, City of San Antonio, District 3",,Day
1102 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 3 100.00% 1,0
1102 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 0 0.00% 0,0
1117 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1117 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1117 BS 3,"For Council, City of San Antonio, District 3",,Day
1117 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 11 44.00% 9,1
1117 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 14 56.00% 3,4
1119 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1119 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1119 BS 2,"For Council, City of San Antonio, District 5",,Day
1119 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 0 0,0
1119 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 0 0,0
1120 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1120 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1120 BS 2,"For Council, City of San Antonio, District 5",,Day
1120 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 4 50.00% 3,1
1120 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 4 50.00% 0,2
1124 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1124 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1124 BS 3,"For Council, City of San Antonio, District 3",,Day
1124 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 0 0.00% 0,0
1124 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 2 100.00% 0,1
1126 BS 4,"For Council, City of San Antonio, District 2",Vote,For
1126 BS 4,"For Council, City of San Antonio, District 2",TOTAL VOTE % Election,Absentee
1126 BS 4,"For Council, City of San Antonio, District 2",,Day
1126 BS 4,"For Council, City of San Antonio, District 2",Jada Andrews-Sullivan 0 0,0
1126 BS 4,"For Council, City of San Antonio, District 2",Jalen McKee-Rodriguez 0 0,0
1127 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1127 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1127 BS 3,"For Council, City of San Antonio, District 3",,Day
1127 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 6 14.63% 2,4
1127 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 35 85.37% 10,14
2001 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2001 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2001 BS 2,"For Council, City of San Antonio, District 5",,Day
2001 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 44 77.19% 17,7
2001 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 13 22.81% 3,4
2002 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2002 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2002 BS 2,"For Council, City of San Antonio, District 5",,Day
2002 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 49 46.23% 11,17
2002 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 57 53.77% 17,14
2003 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2003 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2003 BS 1,"For Council, City of San Antonio, District 1",,Day
2003 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 63 60.00% 25,12
2003 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 42 40.00% 8,6
2004 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2004 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2004 BS 1,"For Council, City of San Antonio, District 1",,Day
2004 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 75 56.39% 26,20
2004 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 58 43.61% 16,12
2006 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2006 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2006 BS 1,"For Council, City of San Antonio, District 1",,Day
2006 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 1 100.00% 0,0
2006 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0.00% 0,0
2007 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2007 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2007 BS 2,"For Council, City of San Antonio, District 5",,Day
2007 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 67 57.76% 26,13
2007 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 49 42.24% 9,25
2008 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2008 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2008 BS 2,"For Council, City of San Antonio, District 5",,Day
2008 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 32 40.00% 7,14
2008 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 48 60.00% 7,15
2010 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2010 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2010 BS 1,"For Council, City of San Antonio, District 1",,Day
2010 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 102 72.34% 25,19
2010 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 39 27.66% 11,10
2011 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2011 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2011 BS 2,"For Council, City of San Antonio, District 5",,Day
2011 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 98 56.32% 16,28
2011 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 76 43.68% 6,41
2012 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2012 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2012 BS 2,"For Council, City of San Antonio, District 5",,Day
2012 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 79 73.15% 21,17
2012 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 29 26.85% 10,10
2015 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2015 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2015 BS 2,"For Council, City of San Antonio, District 5",,Day
2015 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 63 64.95% 12,14
2015 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 34 35.05% 13,13
2016 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2016 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2016 BS 2,"For Council, City of San Antonio, District 5",,Day
2016 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 23 62.16% 3,6
2016 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 14 37.84% 2,7
2017 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2017 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2017 BS 2,"For Council, City of San Antonio, District 5",,Day
2017 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 28 60.87% 5,4
2017 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 18 39.13% 2,5
2018 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2018 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2018 BS 2,"For Council, City of San Antonio, District 5",,Day
2018 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 90 56.60% 24,14
2018 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 69 43.40% 12,12
2021 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2021 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2021 BS 2,"For Council, City of San Antonio, District 5",,Day
2021 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 95 66.90% 17,30
2021 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 47 33.10% 7,21
2022 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2022 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2022 BS 2,"For Council, City of San Antonio, District 5",,Day
2022 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 66 62.86% 14,14
2022 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 39 37.14% 5,17
2029 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2029 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2029 BS 2,"For Council, City of San Antonio, District 5",,Day
2029 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 43 44.33% 12,6
2029 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 54 55.67% 17,11
2030 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2030 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2030 BS 2,"For Council, City of San Antonio, District 5",,Day
2030 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 57 50.44% 17,8
2030 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 56 49.56% 19,18
2031 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2031 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2031 BS 2,"For Council, City of San Antonio, District 5",,Day
2031 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 48 45.71% 8,17
2031 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 57 54.29% 12,21
2032 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2032 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2032 BS 2,"For Council, City of San Antonio, District 5",,Day
2032 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 27 61.36% 4,6
2032 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 17 38.64% 9,3
2033 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2033 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
